Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;Potrosnja
1;1;-4.8;171.5;163.5
1;1;-2.9;159.75;158.0
0;1;-7.5;165.5;165.5
0;1;-3.6;178.75;179.25
0;1;-3.3;176.0;175.75
1;1;-3.8;167.75;168.5
0;1;6.8;173.5;173.75
1;1;11.4;170.25;170.5
1;1;8.9;166.25;165.75
0;1;4.9;165.25;166.0
0;1;3.8;178.0;176.5
0;1;4.1;NaN;NaN
0;1;3.2;179.5;178.5
0;1;4.1;173.25;171.75
1;1;1.0;179.0;177.5
1;1;1.2;159.5;157.5
0;1;-0.8;155.0;153.75
0;1;-0.8;174.0;171.25
0;1;-1.2;171.75;168.5
0;1;2.5;170.5;170.75
0;1;1.5;171.5;169.25
1;1;-0.3;168.5;168.25
1;1;-2.5;175.75;171.75
0;1;-3.2;163.5;163.5
0;1;-5.6;171.0;170.5
0;1;-1.2;176.25;174.75
0;1;0.8;169.75;169.5
0;1;-0.5;175.0;172.25
1;1;-2.1;177.5;174.5
1;1;-1.5;170.75;169.0
0;1;-1.2;165.0;165.0
0;2;-2.3;188.0;183.5
0;2;-3.5;181.0;178.75
0;2;-2.5;186.25;186.75
0;2;-4.1;177.75;177.5
1;2;-2.4;170.75;168.25
1;2;-2.3;170.25;169.25
0;2;-2.0;166.75;167.75
0;2;-2.4;179.0;178.5
0;2;1.6;176.0;176.25
0;2;-1.2;179.0;178.0
0;2;-2.1;186.0;184.5
1;2;8.0;175.75;174.5
1;2;1.9;188.75;186.0
0;2;1.2;179.75;180.75
0;2;0.1;187.0;186.75
0;2;0.0;193.75;193.75
0;2;3.4;190.25;189.25
0;2;3.2;182.5;182.75
1;2;2.7;177.25;174.5
1;2;-0.4;151.75;148.25
0;2;0.1;184.25;180.0
0;2;-2.6;187.25;187.5
0;2;-3.4;181.25;181.5
0;2;-6.6;174.75;175.75
0;2;-7.6;180.5;180.75
1;2;-1.4;181.25;176.75
1;2;-2.0;182.0;176.5
0;2;-1.3;179.75;178.75
0;3;-0.2;188.5;188.5
0;3;0.4;187.25;187.0
0;3;-1.8;181.5;181.5
0;3;0.0;177.25;175.0
1;3;0.0;176.25;174.5
1;3;-3.5;176.47810219;173.912408759
0;3;0.3;172.315018315;174.054744526
0;3;-5.5;183.329710145;184.25631769
0;3;-5.2;186.86770428;187.13229572
0;3;-3.2;194.1875;192.941634241
0;3;-1.1;184.6875;184.266932271
1;3;3.8;183.49609375;183.21875
1;3;5.2;187.490272374;185.122047244
0;3;11.2;185.106299213;185.178988327
0;3;8.5;187.0;186.0
0;3;8.6;185.0;184.75
0;3;11.1;184.75;183.5
0;3;5.3;187.75;186.5
1;3;5.8;184.0;184.5
1;3;4.7;185.5;181.25
0;3;4.3;180.0;181.75
0;3;-0.2;185.75;184.0
0;3;0.9;187.0;185.5
0;3;2.9;193.666666667;193.5
0;3;3.3;188.0;188.25
1;3;10.7;184.0;183.75
1;3;10.8;196.75;193.0
0;3;10.5;NaN;NaN
0;3;6.7;NaN;NaN
0;3;3.0;190.666666667;197.0
0;3;4.0;193.0;193.75
0;4;6.0;NaN;NaN
1;4;7.7;NaN;NaN
1;4;8.5;NaN;NaN
0;4;9.4;NaN;NaN
0;4;9.9;NaN;NaN
0;4;5.0;NaN;NaN
0;4;8.2;NaN;NaN
0;4;17.4;NaN;NaN
1;4;11.5;NaN;NaN
1;4;5.2;NaN;NaN
0;4;6.0;NaN;NaN
0;4;7.2;NaN;NaN
0;4;6.8;NaN;NaN
0;4;3.7;NaN;NaN
0;4;5.3;NaN;NaN
1;4;8.9;NaN;NaN
1;4;5.9;147.75;148.0
0;4;4.0;142.5;142.0
0;4;6.1;151.25;152.25
0;4;5.1;156.25;157.0
0;4;6.1;150.5;149.75
0;4;7.1;151.75;151.0
1;4;8.2;145.5;145.25
1;4;12.9;141.0;141.25
1;4;11.9;142.5;139.0
0;4;12.9;140.25;139.75
0;4;12.3;150.25;149.25
0;4;12.7;151.25;150.0
0;4;11.4;158.5;156.75
1;4;11.7;158.5;160.0
1;5;11.2;176.25;159.25
0;5;8.1;153.5;150.5
0;5;10.6;150.25;151.75
0;5;3.8;NaN;NaN
0;5;3.9;153.75;152.75
0;5;3.9;155.382352941;156.062043796
1;5;5.2;153.157676349;150.008163265
1;5;7.3;155.265560166;150.520491803
0;5;6.0;152.0;150.75
0;5;9.3;152.5;151.25
0;5;9.3;158.0;155.0
0;5;9.5;163.0;161.0
0;5;17.1;NaN;NaN
1;5;12.5;NaN;NaN
1;5;13.9;182.75;173.25
0;5;9.6;175.079497908;173.581300813
0;5;13.7;154.421052632;152.33877551
0;5;13.7;148.055319149;143.608695652
0;5;12.0;145.457831325;144.588709677
0;5;13.8;153.805194805;152.920704846
1;5;14.4;150.413636364;147.751152074
1;5;12.0;146.163090129;143.858369099
0;5;14.8;146.938596491;145.964285714
0;5;15.0;157.627705628;155.8125
0;5;15.6;159.107758621;158.391304348
0;5;13.3;156.25;153.752212389
0;5;14.5;161.679487179;160.783549784
1;5;13.3;157.151515152;154.343220339
1;5;9.8;154.200854701;148.257383966
0;5;11.3;150.449152542;150.863436123
0;5;14.5;160.225531915;160.301724138
