Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;Potrosnja
1;1;-5.0;145.75;146.5
1;1;-1.5;160.0;167.25
0;1;-3.3;393.5;419.25
0;1;-2.9;436.0;446.25
0;1;-2.5;407.5;423.333333333
1;1;-0.1;176.25;178.25
0;1;11.3;225.75;236.0
1;1;12.5;171.75;178.75
1;1;14.1;166.75;171.0
0;1;8.6;448.0;467.5
0;1;3.8;446.5;482.5
0;1;4.9;441.5;458.25
0;1;4.4;427.0;433.0
0;1;8.9;422.25;429.5
1;1;6.0;191.25;200.5
1;1;3.7;152.25;154.75
0;1;1.6;426.25;462.25
0;1;0.6;422.0;445.25
0;1;0.6;423.0;443.0
0;1;4.3;426.25;436.0
0;1;1.3;462.25;474.25
1;1;-0.1;200.0;199.5
1;1;-0.6;169.0;170.75
0;1;-1.2;428.0;448.75
0;1;-1.2;414.25;449.0
0;1;3.7;411.0;444.5
0;1;2.8;416.25;424.75
0;1;-1.8;457.5;469.75
1;1;-1.4;184.25;185.75
1;1;-0.9;169.75;168.25
0;1;-1.1;398.75;423.25
0;2;-1.9;398.25;397.5
0;2;-2.8;374.25;404.75
0;2;-0.4;388.5;391.0
0;2;2.4;343.0;351.75
1;2;5.0;185.25;184.5
1;2;7.2;172.5;172.75
0;2;6.8;377.75;366.75
0;2;7.8;344.75;363.75
0;2;8.7;376.25;378.75
0;2;6.6;382.0;390.25
0;2;10.1;346.0;358.0
1;2;8.7;174.5;180.5
1;2;3.7;176.5;176.25
0;2;2.1;429.5;458.0
0;2;0.7;443.75;485.75
0;2;2.0;444.0;453.5
0;2;2.1;427.5;468.0
0;2;3.1;436.25;461.5
1;2;5.2;158.25;164.75
1;2;4.8;141.25;158.25
0;2;-0.5;443.25;465.5
0;2;-1.4;423.75;431.25
0;2;-3.3;391.75;402.75
0;2;-1.6;403.25;404.5
0;2;0.5;394.25;411.75
1;2;-0.4;201.25;207.5
1;2;-1.0;170.75;175.75
0;2;-1.1;448.25;484.5
0;3;0.2;446.5;497.75
0;3;0.4;447.25;477.0
0;3;-1.0;448.0;476.75
0;3;2.3;417.75;462.0
1;3;1.5;187.583941606;196.339552239
1;3;3.3;172.396363636;173.919708029
0;3;4.0;400.791970803;436.091240876
0;3;2.9;422.022813688;415.945848375
0;3;4.1;405.642023346;430.31640625
0;3;7.2;396.747081712;424.296875
0;3;13.3;400.65234375;437.221789883
1;3;12.7;186.75;187.536964981
1;3;14.0;182.661478599;184.14453125
0;3;17.9;400.515625;431.72265625
0;3;17.0;391.75;423.75
0;3;11.0;449.25;479.25
0;3;12.7;427.0;457.25
0;3;13.0;425.5;464.0
1;3;7.0;176.5;172.25
1;3;6.8;185.25;187.25
0;3;5.8;416.75;439.5
0;3;11.0;393.25;424.75
0;3;14.3;378.75;407.0
0;3;15.8;390.25;389.5
0;3;16.8;366.5;418.5
1;3;17.3;230.0;253.0
1;3;13.0;185.5;193.25
0;3;11.5;NaN;NaN
0;3;14.9;NaN;389.5
0;3;14.2;382.25;415.25
0;3;17.0;395.75;434.5
0;4;16.9;NaN;NaN
1;4;19.4;NaN;NaN
1;4;18.3;NaN;NaN
0;4;18.9;NaN;NaN
0;4;13.8;NaN;NaN
0;4;15.6;NaN;NaN
0;4;21.5;NaN;NaN
0;4;16.6;NaN;NaN
1;4;21.2;NaN;NaN
1;4;14.8;NaN;NaN
0;4;16.7;NaN;NaN
0;4;23.1;NaN;NaN
0;4;12.5;NaN;NaN
0;4;13.1;NaN;NaN
0;4;12.0;NaN;NaN
1;4;9.7;NaN;NaN
1;4;14.7;156.0;156.25
0;4;16.8;390.5;401.75
0;4;18.1;374.75;391.25
0;4;18.7;389.5;407.0
0;4;20.0;365.0;382.0
0;4;20.9;340.25;336.0
1;4;21.8;155.25;152.25
1;4;22.0;140.25;142.25
1;4;19.2;148.75;153.0
0;4;13.7;410.25;423.75
0;4;16.7;374.75;402.25
0;4;14.8;425.25;461.5
0;4;14.1;390.75;406.0
1;4;15.0;176.5;174.75
1;5;15.2;145.25;145.0
0;5;17.3;361.5;367.5
0;5;21.8;379.25;401.75
0;5;11.2;379.0;394.5
0;5;14.8;329.769633508;352.164179104
0;5;15.5;349.080586081;368.861313869
1;5;19.5;165.864197531;167.43220339
1;5;19.3;150.468619247;173.851239669
0;5;17.3;355.75;378.75
0;5;22.1;336.75;352.25
0;5;23.4;387.5;394.75
0;5;25.4;348.75;360.25
0;5;22.4;NaN;NaN
1;5;22.9;228.0;233.0
1;5;12.7;196.863453815;207.919354839
0;5;15.5;378.895652174;404.864864865
0;5;16.9;378.81981982;393.697777778
0;5;18.8;399.546255507;431.96969697
0;5;23.3;386.143478261;400.367713004
0;5;24.7;383.214953271;393.612244898
1;5;26.1;184.208888889;210.132420091
1;5;22.6;150.583333333;155.089686099
0;5;25.3;377.138528139;417.03930131
0;5;25.7;440.674107143;468.194690265
0;5;24.2;403.392307692;426.75
0;5;22.5;391.995670996;427.168141593
0;5;26.4;471.256410256;501.298701299
1;5;13.0;234.572052402;216.449579832
1;5;20.2;195.862222222;177.87037037
0;5;23.0;422.472340426;462.911894273
0;5;24.9;382.594827586;409.730769231
