Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
17;3;2;7.4;280.5
18;3;2;4.6;269.5
19;3;2;3.3;243.75
20;3;2;2.8;223.25
21;3;2;1.9;209.5
22;3;2;1.8;192.25
23;3;2;1.2;184.0
0;4;2;0.7;183.75
1;4;2;0.0;179.5
2;4;2;-0.3;179.25
3;4;2;-0.5;179.0
4;4;2;-1.2;178.0
5;4;2;-1.3;186.75
6;4;2;-1.4;228.5
7;4;2;-1.4;273.0
8;4;2;2.3;310.0
9;4;2;4.6;382.0
10;4;2;6.6;390.25
11;4;2;8.6;392.0
12;4;2;9.7;385.25
13;4;2;10.2;374.0
14;4;2;10.1;338.75
15;4;2;10.4;326.75
16;4;2;8.8;294.75
17;4;2;5.9;280.5
18;4;2;3.7;265.5
19;4;2;3.0;244.5
20;4;2;2.3;230.5
21;4;2;2.0;221.75
22;4;2;1.5;203.0
23;4;2;0.4;194.5
0;5;2;0.0;195.75
1;5;2;-1.0;186.75
2;5;2;-1.4;186.5
3;5;2;-1.9;186.0
4;5;2;-2.1;184.5
5;5;2;-2.5;182.75
6;5;2;-2.9;223.0
7;5;2;-2.1;261.25
8;5;2;-0.2;324.75
9;5;2;4.8;346.0
10;5;2;10.1;358.0
11;5;2;11.8;380.0
12;5;2;13.0;381.5
13;5;2;14.9;370.5
14;5;2;16.0;364.75
15;5;2;14.4;331.0
16;5;2;12.9;287.5
17;5;2;11.1;278.75
18;5;2;10.0;256.75
19;5;2;9.0;228.0
20;5;2;8.0;202.0
21;5;2;8.1;196.0
22;5;2;9.0;189.5
23;5;2;9.0;184.5
0;6;2;8.8;181.0
1;6;2;8.2;179.0
2;6;2;8.1;177.5
3;6;2;8.9;175.75
4;6;2;8.0;174.5
5;6;2;8.9;174.75
6;6;2;8.9;179.25
7;6;2;9.6;170.75
8;6;2;11.0;173.25
9;6;2;11.3;174.5
10;6;2;8.7;180.5
11;6;2;7.6;189.25
12;6;2;7.3;194.75
13;6;2;6.2;198.25
14;6;2;5.1;199.0
15;6;2;4.5;200.0
16;6;2;4.5;198.75
17;6;2;4.6;204.0
18;6;2;3.9;202.0
19;6;2;3.7;199.0
20;6;2;3.6;191.25
21;6;2;3.6;185.75
22;6;2;3.4;186.25
23;6;2;3.0;185.25
0;7;2;2.6;187.75
1;7;2;2.7;188.0
2;7;2;2.7;187.5
3;7;2;2.1;188.75
4;7;2;1.9;186.0
5;7;2;1.9;185.75
6;7;2;2.1;185.0
7;7;2;2.4;176.25
8;7;2;3.0;175.25
9;7;2;3.4;176.5
10;7;2;3.7;176.25
11;7;2;3.8;180.25
12;7;2;3.9;182.75
13;7;2;4.0;183.5
14;7;2;4.0;184.0
15;7;2;3.8;182.25
16;7;2;2.7;184.25
17;7;2;1.8;191.0
18;7;2;1.8;196.0
19;7;2;1.9;188.75
20;7;2;1.8;185.25
21;7;2;1.6;183.5
22;7;2;1.0;185.25
23;7;2;1.2;185.0
0;1;2;1.2;185.5
1;1;2;1.2;181.5
2;1;2;1.1;178.75
3;1;2;1.1;179.75
4;1;2;1.2;180.75
5;1;2;1.2;188.0
6;1;2;1.2;247.25
7;1;2;1.4;286.5
8;1;2;1.7;381.5
9;1;2;2.0;429.5
10;1;2;2.1;458.0
11;1;2;2.0;478.75
12;1;2;2.0;491.25
13;1;2;2.1;477.5
14;1;2;2.1;481.5
15;1;2;2.1;476.0
16;1;2;1.9;424.5
17;1;2;1.2;372.25
18;1;2;1.0;325.0
19;1;2;1.0;276.5
20;1;2;0.8;248.5
21;1;2;0.9;228.5
22;1;2;0.9;214.5
23;1;2;0.9;205.75
0;2;2;0.8;198.0
1;2;2;0.6;192.0
2;2;2;0.1;187.25
3;2;2;0.1;187.0
4;2;2;0.1;186.75
5;2;2;0.1;189.0
6;2;2;0.2;260.5
7;2;2;0.6;285.25
8;2;2;0.6;372.75
9;2;2;0.8;443.75
10;2;2;0.7;485.75
11;2;2;0.7;500.75
12;2;2;0.6;523.5
13;2;2;0.7;504.0
14;2;2;0.6;503.0
15;2;2;0.6;489.75
16;2;2;0.5;427.5
17;2;2;0.3;373.0
18;2;2;0.3;339.5
19;2;2;0.4;281.5
20;2;2;0.4;248.0
21;2;2;0.4;229.5
22;2;2;0.4;215.5
23;2;2;0.4;209.75
0;3;2;0.3;202.25
1;3;2;0.4;199.75
2;3;2;0.5;194.0
3;3;2;0.2;193.75
4;3;2;0.0;193.75
5;3;2;0.2;197.0
6;3;2;0.4;254.5
7;3;2;0.7;303.0
8;3;2;1.7;375.25
9;3;2;2.3;444.0
10;3;2;2.0;453.5
11;3;2;2.5;480.25
12;3;2;2.9;465.25
13;3;2;3.0;455.75
14;3;2;3.1;477.25
15;3;2;3.2;452.75
16;3;2;3.3;406.5
17;3;2;3.6;375.25
18;3;2;4.2;333.0
19;3;2;4.5;282.5
20;3;2;4.7;238.25
21;3;2;4.6;221.5
22;3;2;4.2;202.25
23;3;2;4.6;194.5
0;4;2;4.8;192.75
1;4;2;4.3;191.25
2;4;2;4.0;189.0
3;4;2;3.7;190.25
4;4;2;3.4;189.25
5;4;2;2.9;191.75
6;4;2;2.7;255.0
7;4;2;2.0;306.5
8;4;2;2.2;375.5
9;4;2;2.2;427.5
10;4;2;2.1;468.0
11;4;2;2.4;483.25
12;4;2;3.0;484.5
13;4;2;3.5;479.0
14;4;2;3.8;479.25
15;4;2;4.2;462.75
16;4;2;4.0;419.25
17;4;2;3.8;372.0
18;4;2;3.8;364.5
19;4;2;3.8;317.25
20;4;2;3.9;252.5
21;4;2;4.1;224.5
22;4;2;4.0;203.75
23;4;2;4.0;193.75
0;5;2;4.0;190.0
1;5;2;3.8;184.0
2;5;2;3.5;183.5
3;5;2;3.4;182.5
4;5;2;3.2;182.75
5;5;2;3.0;186.25
6;5;2;2.9;247.25
7;5;2;2.9;293.0
8;5;2;3.1;354.5
9;5;2;3.1;436.25
10;5;2;3.1;461.5
11;5;2;3.8;491.0
12;5;2;4.2;491.5
13;5;2;4.6;478.75
14;5;2;4.6;468.0
15;5;2;4.3;443.75
16;5;2;4.1;392.5
17;5;2;3.5;337.75
18;5;2;3.5;303.5
19;5;2;3.6;271.25
20;5;2;3.6;251.0
21;5;2;3.6;225.25
22;5;2;3.5;187.5
23;5;2;4.0;182.25
0;6;2;3.8;186.0
1;6;2;4.1;186.75
2;6;2;3.9;185.25
3;6;2;3.5;177.25
4;6;2;2.7;174.5
5;6;2;0.9;176.0
6;6;2;0.2;184.5
7;6;2;0.8;164.25
8;6;2;2.7;155.0
9;6;2;4.8;158.25
10;6;2;5.2;164.75
11;6;2;5.8;165.25
12;6;2;6.8;164.75
13;6;2;7.3;157.5
14;6;2;7.4;160.25
15;6;2;7.9;158.5
16;6;2;6.9;149.5
17;6;2;5.9;161.75
18;6;2;5.9;168.25
19;6;2;5.4;171.5
20;6;2;5.0;166.25
21;6;2;4.9;154.5
22;6;2;4.7;151.5
23;6;2;3.9;151.25
0;7;2;3.8;152.5
1;7;2;1.9;151.75
2;7;2;1.1;151.75
3;7;2;0.6;151.75
4;7;2;-0.4;148.25
5;7;2;-0.6;146.25
6;7;2;-0.4;146.0
7;7;2;0.6;142.75
8;7;2;2.5;142.5
9;7;2;3.2;141.25
10;7;2;4.8;158.25
11;7;2;5.7;179.5
12;7;2;6.0;186.5
13;7;2;7.0;188.25
14;7;2;6.5;185.5
15;7;2;6.2;185.75
16;7;2;5.8;185.25
17;7;2;4.8;194.25
18;7;2;3.8;202.75
19;7;2;3.3;209.5
20;7;2;3.1;202.75
21;7;2;2.7;198.25
22;7;2;2.3;193.25
23;7;2;2.0;188.75
0;1;2;1.8;189.5
1;1;2;0.7;185.5
2;1;2;0.7;184.25
3;1;2;0.3;184.25
4;1;2;0.1;180.0
5;1;2;-1.1;188.25
6;1;2;-1.5;239.0
7;1;2;-1.7;280.0
8;1;2;-1.3;372.25
9;1;2;-1.1;443.25
10;1;2;-0.5;465.5
11;1;2;-0.2;462.75
12;1;2;-0.1;490.5
13;1;2;-0.2;475.0
14;1;2;-0.1;477.25
15;1;2;-0.9;443.0
16;1;2;-0.9;396.0
17;1;2;-1.1;359.75
18;1;2;-1.1;334.5
19;1;2;-1.4;303.5
20;1;2;-1.5;258.75
21;1;2;-1.8;228.25
22;1;2;-1.9;212.0
23;1;2;-2.2;204.5
0;2;2;-2.2;198.5
1;2;2;-2.2;191.25
2;2;2;-2.8;190.75
3;2;2;-3.1;187.25
4;2;2;-2.6;187.5
5;2;2;-2.6;190.5
6;2;2;-2.6;247.5
7;2;2;-2.8;286.75
8;2;2;-2.3;362.0
9;2;2;-2.0;423.75
10;2;2;-1.4;431.25
11;2;2;-1.5;447.5
12;2;2;-1.4;464.25
13;2;2;-0.8;458.0
14;2;2;-0.7;458.25
15;2;2;-0.4;435.75
16;2;2;-0.4;410.5
17;2;2;-0.6;374.75
18;2;2;-0.8;330.25
19;2;2;-1.1;275.5
20;2;2;-1.2;230.0
21;2;2;-1.2;212.5
22;2;2;-1.6;198.75
23;2;2;-1.8;188.25
0;3;2;-1.9;186.25
1;3;2;-2.3;180.5
2;3;2;-2.4;181.25
3;3;2;-2.6;181.25
4;3;2;-3.4;181.5
5;3;2;-3.9;187.75
6;3;2;-5.4;236.25
7;3;2;-5.4;278.5
8;3;2;-5.0;352.75
9;3;2;-4.0;391.75
10;3;2;-3.3;402.75
11;3;2;-2.2;404.25
12;3;2;-1.3;414.0
13;3;2;-1.3;411.75
14;3;2;-0.6;395.25
15;3;2;-0.5;402.75
16;3;2;-0.8;358.0
17;3;2;-1.4;336.0
18;3;2;-1.6;323.0
19;3;2;-2.4;257.75
20;3;2;-3.4;226.0
21;3;2;-3.9;206.75
22;3;2;-4.4;195.5
23;3;2;-6.0;187.5
0;4;2;-6.4;182.25
1;4;2;-7.0;176.0
2;4;2;-7.2;174.0
3;4;2;-7.2;174.75
4;4;2;-6.6;175.75
5;4;2;-6.9;183.25
6;4;2;-7.0;222.75
7;4;2;-5.4;268.5
8;4;2;-4.4;347.5
9;4;2;-3.1;403.25
10;4;2;-1.6;404.5
11;4;2;-0.1;402.5
12;4;2;0.0;425.0
13;4;2;1.2;418.25
14;4;2;1.4;415.75
15;4;2;1.4;382.0
16;4;2;0.9;356.25
17;4;2;-0.2;338.25
18;4;2;-1.6;342.75
19;4;2;-2.9;295.0
20;4;2;-4.1;248.75
21;4;2;-4.8;221.75
22;4;2;-5.7;201.75
23;4;2;-6.3;194.0
0;5;2;-6.6;189.0
1;5;2;-6.8;184.0
2;5;2;-7.2;179.5
3;5;2;-7.4;180.5
4;5;2;-7.6;180.75
5;5;2;-7.9;186.0
6;5;2;-8.2;243.25
7;5;2;-6.7;264.75
8;5;2;-2.4;353.75
9;5;2;-1.1;394.25
10;5;2;0.5;411.75
11;5;2;1.2;445.5
12;5;2;1.8;441.75
13;5;2;1.8;429.25
14;5;2;2.4;392.0
15;5;2;1.8;352.0
16;5;2;0.8;332.5
17;5;2;-0.3;310.5
18;5;2;-0.9;285.5
19;5;2;-0.5;248.0
20;5;2;-0.3;223.0
21;5;2;-0.3;216.0
22;5;2;-0.4;202.5
23;5;2;-1.1;192.0
0;6;2;-1.4;192.25
1;6;2;-1.6;190.25
2;6;2;-1.3;184.25
3;6;2;-1.4;181.25
4;6;2;-1.4;176.75
5;6;2;-1.4;177.0
6;6;2;-1.4;180.75
7;6;2;-1.4;173.25
8;6;2;-1.3;180.75
9;6;2;-0.5;201.25
10;6;2;-0.4;207.5
11;6;2;-0.2;205.0
12;6;2;0.5;196.75
13;6;2;1.6;192.25
14;6;2;1.5;190.5
15;6;2;1.5;190.25
16;6;2;1.1;188.25
17;6;2;-0.2;189.25
18;6;2;-1.3;199.25
19;6;2;-2.6;194.25
20;6;2;-3.1;192.0
21;6;2;-3.9;187.75
22;6;2;-3.7;180.5
23;6;2;-3.1;180.5
0;7;2;-2.6;182.25
1;7;2;-2.2;184.5
2;7;2;-2.2;185.25
3;7;2;-2.0;182.0
4;7;2;-2.0;176.5
5;7;2;-2.1;175.25
6;7;2;-2.1;175.75
7;7;2;-2.0;170.5
8;7;2;-1.8;170.75
9;7;2;-1.7;170.75
10;7;2;-1.0;175.75
11;7;2;-0.8;183.75
12;7;2;-0.8;189.25
13;7;2;-0.7;193.75
14;7;2;-0.3;192.5
15;7;2;-0.5;195.75
16;7;2;-0.7;199.0
17;7;2;-0.8;206.25
18;7;2;-0.8;218.75
19;7;2;-1.1;213.25
20;7;2;-1.2;203.5
21;7;2;-1.2;197.0
22;7;2;-1.2;189.0
23;7;2;-1.2;190.5
0;1;2;-1.2;184.75
1;1;2;-1.0;182.25
2;1;2;-1.3;181.5
3;1;2;-1.3;179.75
4;1;2;-1.3;178.75
5;1;2;-1.5;183.75
6;1;2;-1.4;243.0
7;1;2;-1.3;282.5
8;1;2;-1.3;384.5
9;1;2;-1.2;448.25
10;1;2;-1.1;484.5
11;1;2;-0.2;497.5
12;1;2;0.0;495.0
13;1;2;0.1;493.5
14;1;2;0.1;488.5
15;1;2;0.1;468.75
16;1;2;0.1;407.5
17;1;2;0.0;357.5
18;1;2;0.0;324.75
19;1;2;0.0;283.5
20;1;2;0.2;253.5
21;1;2;0.2;235.0
22;1;2;0.2;218.5
23;1;2;0.1;202.5
0;2;3;0.1;195.5
1;2;3;0.1;188.5
2;2;3;0.1;188.25
3;2;3;0.1;188.5
4;2;3;-0.2;188.5
5;2;3;-0.2;195.0
6;2;3;-0.2;247.25
7;2;3;-0.1;298.5
8;2;3;0.2;372.0
9;2;3;0.2;446.5
10;2;3;0.2;497.75
11;2;3;1.0;497.0
12;2;3;1.1;496.0
13;2;3;1.5;493.5
14;2;3;2.3;482.75
15;2;3;2.0;449.5
16;2;3;1.5;417.0
17;2;3;1.2;379.25
18;2;3;1.1;329.0
19;2;3;0.9;282.75
20;2;3;0.8;257.25
21;2;3;0.0;235.75
22;2;3;0.3;210.75
23;2;3;1.0;205.75
0;3;3;1.0;200.0
1;3;3;1.0;193.25
2;3;3;1.1;189.25
3;3;3;1.0;187.25
4;3;3;0.4;187.0
5;3;3;0.2;188.5
6;3;3;0.2;240.75
7;3;3;0.1;307.75
8;3;3;0.1;385.0
9;3;3;-0.1;447.25
10;3;3;0.4;477.0
11;3;3;0.3;482.5
12;3;3;0.8;472.0
13;3;3;0.6;471.0
14;3;3;0.5;448.25
15;3;3;-0.2;439.5
16;3;3;-0.9;418.25
17;3;3;-1.0;373.25
18;3;3;-1.1;318.5
19;3;3;-1.4;270.25
20;3;3;-1.7;239.5
21;3;3;-1.7;224.5
22;3;3;-1.8;199.75
23;3;3;-1.8;191.75
0;4;3;-1.8;188.5
1;4;3;-1.8;182.25
2;4;3;-1.9;180.75
3;4;3;-1.9;181.5
4;4;3;-1.8;181.5
5;4;3;-1.8;185.0
6;4;3;-1.9;237.5
7;4;3;-1.8;281.0
8;4;3;-1.3;373.75
9;4;3;-1.1;448.0
10;4;3;-1.0;476.75
11;4;3;-1.0;497.0
12;4;3;-0.6;488.5
13;4;3;-0.1;485.0
14;4;3;0.0;465.75
15;4;3;0.1;447.25
16;4;3;0.1;413.5
17;4;3;0.1;363.25
18;4;3;0.2;324.0
19;4;3;0.4;277.0
20;4;3;0.3;237.25
21;4;3;0.5;213.5
22;4;3;0.2;200.25
23;4;3;0.4;191.25
0;5;3;0.1;187.5
1;5;3;0.1;184.0
2;5;3;-0.1;176.75
3;5;3;-0.1;177.25
4;5;3;0.0;175.0
5;5;3;0.0;178.5
6;5;3;0.0;240.0
7;5;3;0.1;266.5
8;5;3;0.8;352.5
9;5;3;1.8;417.75
10;5;3;2.3;462.0
11;5;3;2.6;474.0
12;5;3;2.9;467.0
13;5;3;3.6;467.5
14;5;3;3.7;440.5
15;5;3;3.8;413.5
16;5;3;2.8;364.0
17;5;3;1.8;325.0
18;5;3;0.9;298.5
19;5;3;-1.1;247.0
20;5;3;-1.6;222.5
21;5;3;-2.1;213.5
22;5;3;-1.2;190.5
23;5;3;-1.9;180.25
0;6;3;-0.4;179.0
1;6;3;-0.2;182.5
2;6;3;-0.2;179.0
3;6;3;-0.2;176.25
4;6;3;0.0;174.5
5;6;3;0.0;178.2
6;6;3;0.0;182.467153285
7;6;3;0.3;180.390510949
8;6;3;0.3;183.864468864
9;6;3;0.9;187.583941606
10;6;3;1.5;196.339552239
11;6;3;2.2;199.452554745
12;6;3;2.8;206.798534799
13;6;3;2.5;209.335766423
14;6;3;2.8;207.288321168
15;6;3;2.8;199.671532847
16;6;3;2.7;195.578754579
17;6;3;2.1;196.834558824
18;6;3;2.0;201.428571429
19;6;3;1.8;203.642335766
20;6;3;1.1;195.178832117
21;6;3;-0.8;190.390510949
22;6;3;-1.5;182.675373134
23;6;3;-1.9;180.649635036
0;7;3;-2.3;181.076642336
1;7;3;-2.7;178.073260073
2;7;3;-2.8;179.452554745
3;7;3;-3.5;176.47810219
4;7;3;-3.5;173.912408759
5;7;3;-3.5;175.287313433
6;7;3;-2.4;171.959854015
7;7;3;-1.5;170.087912088
8;7;3;0.4;171.306569343
9;7;3;2.3;172.396363636
10;7;3;3.3;173.919708029
11;7;3;3.6;174.996336996
12;7;3;4.1;174.531135531
13;7;3;4.6;183.959854015
14;7;3;5.1;183.248175182
15;7;3;5.9;65.8138686131
16;7;3;5.9;-0.00735294117647
17;7;3;5.0;155.903345725
18;7;3;3.8;186.175182482
19;7;3;4.6;182.795620438
20;7;3;3.7;179.244525547
21;7;3;3.6;177.322344322
22;7;3;1.8;179.182481752
23;7;3;1.0;176.0
0;1;3;2.5;172.344322344
1;1;3;1.9;172.286764706
2;1;3;1.1;171.682481752
3;1;3;0.9;172.315018315
4;1;3;0.3;174.054744526
5;1;3;0.2;195.084249084
6;1;3;0.1;226.282051282
7;1;3;1.0;252.45620438
8;1;3;2.2;350.131086142
9;1;3;3.1;400.791970803
10;1;3;4.0;436.091240876
11;1;3;4.1;438.692307692
12;1;3;4.6;456.689781022
13;1;3;4.4;450.186131387
14;1;3;4.3;443.725274725
15;1;3;3.4;403.912408759
16;1;3;3.2;365.569343066
17;1;3;2.5;341.208029197
18;1;3;1.3;333.666666667
19;1;3;-1.0;300.379562044
20;1;3;-2.6;247.996254682
21;1;3;-3.5;210.937956204
22;1;3;-4.2;204.234432234
23;1;3;-4.2;197.799270073
0;2;3;-4.5;191.03649635
1;2;3;-4.6;187.018050542
2;2;3;-4.5;183.963898917
3;2;3;-4.7;183.329710145
4;2;3;-5.5;184.25631769
5;2;3;-5.4;195.707581227
6;2;3;-5.0;246.064981949
7;2;3;-2.3;283.614814815
8;2;3;0.8;360.629482072
9;2;3;2.4;422.022813688
10;2;3;2.9;415.945848375
11;2;3;4.2;434.482889734
12;2;3;4.8;440.390625
13;2;3;5.3;438.233463035
14;2;3;5.7;429.922178988
15;2;3;6.2;390.8
16;2;3;5.1;355.933333333
17;2;3;3.5;331.832684825
18;2;3;1.1;315.847058824
19;2;3;-1.4;266.708
20;2;3;-1.9;244.821011673
21;2;3;-2.5;222.28125
22;2;3;-2.9;201.207843137
23;2;3;-3.4;196.46184739
0;3;3;-3.3;197.019455253
1;3;3;-4.4;188.80859375
2;3;3;-4.8;186.876494024
3;3;3;-5.1;186.86770428
4;3;3;-5.2;187.13229572
5;3;3;-5.8;205.49609375
6;3;3;-5.7;243.1875
7;3;3;-2.3;277.30078125
8;3;3;0.9;361.856031128
9;3;3;2.6;405.642023346
10;3;3;4.1;430.31640625
11;3;3;5.8;447.081712062
12;3;3;6.8;457.90625
13;3;3;7.9;461.0703125
14;3;3;8.6;447.02734375
15;3;3;9.2;431.05859375
16;3;3;8.7;360.151750973
17;3;3;6.8;338.345098039
18;3;3;2.7;336.25
19;3;3;1.3;276.04296875
20;3;3;0.0;241.910505837
21;3;3;-0.3;221.132
22;3;3;-0.6;207.21875
23;3;3;-1.3;203.054474708
0;4;3;-1.3;197.765625
1;4;3;-2.0;195.73151751
2;4;3;-2.8;195.62890625
3;4;3;-2.7;194.1875
4;4;3;-3.2;192.941634241
5;4;3;-3.3;200.98046875
6;4;3;-3.2;241.921875
7;4;3;-1.2;285.902723735
8;4;3;2.8;353.6796875
9;4;3;5.0;396.747081712
10;4;3;7.2;424.296875
11;4;3;9.7;442.848249027
12;4;3;12.7;436.726190476
13;4;3;14.4;430.792156863
14;4;3;15.7;408.175097276
15;4;3;16.1;391.6015625
16;4;3;15.9;356.26
17;4;3;11.5;337.01953125
18;4;3;8.3;336.76171875
19;4;3;5.4;302.57421875
20;4;3;4.0;238.105058366
21;4;3;2.7;215.819607843
22;4;3;4.6;204.13671875
23;4;3;7.7;197.62109375
0;5;3;6.2;195.435797665
1;5;3;2.4;188.031128405
2;5;3;0.3;186.175097276
3;5;3;-0.5;184.6875
4;5;3;-1.1;184.266932271
5;5;3;-0.2;201.3125
6;5;3;-0.4;234.234375
7;5;3;2.8;275.3125
8;5;3;8.8;340.15234375
9;5;3;11.8;400.65234375
10;5;3;13.3;437.221789883
11;5;3;13.9;454.233463035
12;5;3;15.4;440.274509804
13;5;3;16.9;427.774319066
14;5;3;17.8;417.098039216
15;5;3;17.9;395.326848249
16;5;3;16.8;355.0078125
17;5;3;15.0;321.241245136
18;5;3;13.5;307.01953125
19;5;3;11.8;275.25
20;5;3;11.4;233.717647059
21;5;3;9.6;209.0546875
22;5;3;8.4;201.163424125
23;5;3;7.4;194.34765625
0;6;3;7.2;193.276264591
1;6;3;6.1;191.984375
2;6;3;6.0;190.417670683
3;6;3;4.9;183.49609375
4;6;3;3.8;183.21875
5;6;3;3.6;184.019685039
6;6;3;0.4;189.330708661
7;6;3;5.1;183.99609375
8;6;3;8.0;185.431906615
9;6;3;10.4;186.75
10;6;3;12.7;187.536964981
11;6;3;14.8;190.359375
12;6;3;16.1;198.832684825
13;6;3;17.3;198.45703125
14;6;3;18.0;197.7
15;6;3;17.6;197.682352941
16;6;3;16.5;197.25390625
17;6;3;15.0;200.97254902
18;6;3;14.1;211.643137255
19;6;3;13.7;208.1640625
20;6;3;12.3;208.4765625
21;6;3;11.5;206.5703125
22;6;3;10.7;198.575875486
23;6;3;9.4;191.875
0;7;3;7.3;189.84375
1;7;3;7.0;189.128404669
2;7;3;9.3;188.763052209
3;7;3;7.1;187.490272374
4;7;3;5.2;185.122047244
5;7;3;5.0;184.0078125
6;7;3;8.3;181.723735409
7;7;3;9.3;180.7421875
8;7;3;11.3;182.19921875
9;7;3;13.0;182.661478599
10;7;3;14.0;184.14453125
11;7;3;14.9;187.684824903
12;7;3;15.8;188.47265625
13;7;3;16.1;192.220472441
14;7;3;15.0;191.498007968
15;7;3;15.2;195.19140625
16;7;3;14.7;202.57421875
17;7;3;14.6;210.207843137
18;7;3;13.4;215.575875486
19;7;3;12.8;209.822834646
20;7;3;11.4;208.715953307
21;7;3;12.6;200.482490272
22;7;3;12.1;190.45703125
23;7;3;11.6;188.40234375
0;1;3;11.4;188.32421875
1;1;3;11.0;185.7265625
2;1;3;10.8;184.688715953
3;1;3;11.0;185.106299213
4;1;3;11.2;185.178988327
5;1;3;11.2;191.399209486
6;1;3;12.6;248.57480315
7;1;3;14.2;294.76953125
8;1;3;14.7;392.840466926
9;1;3;17.0;400.515625
10;1;3;17.9;431.72265625
11;1;3;17.8;472.265625
12;1;3;19.2;458.3984375
13;1;3;18.2;455.521568627
14;1;3;17.6;443.785992218
15;1;3;17.4;418.9453125
16;1;3;17.3;374.59375
17;1;3;17.0;339.471698113
18;1;3;16.2;329.25
19;1;3;15.0;287.25
20;1;3;12.7;241.5
21;1;3;11.4;220.25
22;1;3;11.9;207.25
23;1;3;11.4;202.0
0;2;3;10.1;199.25
1;2;3;9.8;190.75
2;2;3;10.2;188.0
3;2;3;8.8;187.0
4;2;3;8.5;186.0
5;2;3;7.8;186.5
6;2;3;8.0;237.25
7;2;3;9.9;284.0
8;2;3;14.0;326.5
9;2;3;16.3;391.75
10;2;3;17.0;423.75
11;2;3;18.4;431.0
12;2;3;18.5;432.25
13;2;3;19.0;422.25
14;2;3;19.0;424.5
15;2;3;18.7;432.25
16;2;3;18.3;420.75
17;2;3;17.9;374.0
18;2;3;16.8;348.75
19;2;3;15.8;301.0
20;2;3;14.9;241.0
21;2;3;14.5;213.75
22;2;3;12.0;203.25
23;2;3;10.1;195.5
0;3;3;8.7;193.75
1;3;3;8.6;190.25
2;3;3;7.7;186.25
3;3;3;7.7;185.0
4;3;3;8.6;184.75
5;3;3;8.8;186.75
6;3;3;9.5;242.0
7;3;3;9.7;283.75
8;3;3;10.8;354.25
9;3;3;10.8;449.25
10;3;3;11.0;479.25
11;3;3;10.9;503.25
12;3;3;11.0;493.75
13;3;3;10.4;464.5
14;3;3;10.2;474.0
15;3;3;10.5;477.75
16;3;3;10.9;433.75
17;3;3;11.0;372.25
18;3;3;11.0;341.5
19;3;3;11.1;291.75
20;3;3;10.9;243.5
21;3;3;10.2;227.25
22;3;3;10.3;206.25
23;3;3;10.2;201.25
0;4;3;11.1;199.0
1;4;3;11.0;192.0
2;4;3;11.1;187.0
3;4;3;11.1;184.75
4;4;3;11.1;183.5
5;4;3;10.5;188.75
6;4;3;10.5;241.0
7;4;3;10.5;295.25
8;4;3;11.4;350.5
9;4;3;11.5;427.0
10;4;3;12.7;457.25
11;4;3;15.7;465.75
12;4;3;16.7;455.0
13;4;3;16.2;457.5
14;4;3;15.4;458.0
15;4;3;16.2;429.5
16;4;3;15.0;390.0
17;4;3;14.7;339.25
18;4;3;13.9;334.75
19;4;3;13.5;301.75
20;4;3;12.7;272.0
21;4;3;11.6;244.5
22;4;3;8.5;215.75
23;4;3;7.5;202.75
0;5;3;5.9;197.5
1;5;3;5.0;191.5
2;5;3;5.1;188.0
3;5;3;5.0;187.75
4;5;3;5.3;186.5
5;5;3;6.0;189.75
6;5;3;6.8;245.25
7;5;3;8.1;292.75
8;5;3;10.9;358.25
9;5;3;11.9;425.5
10;5;3;13.0;464.0
11;5;3;13.6;487.25
12;5;3;12.1;476.5
13;5;3;11.3;466.0
14;5;3;12.5;459.25
15;5;3;12.5;436.25
16;5;3;11.7;418.0
17;5;3;9.8;364.0
18;5;3;8.8;320.0
19;5;3;8.1;276.25
20;5;3;7.7;250.0
21;5;3;7.6;222.5
22;5;3;7.2;198.5
23;5;3;6.8;191.25
0;6;3;6.5;190.0
1;6;3;6.5;192.25
2;6;3;5.9;186.5
3;6;3;5.8;184.0
4;6;3;5.8;184.5
5;6;3;5.8;183.75
6;6;3;5.8;194.25
7;6;3;5.8;187.75
8;6;3;5.9;180.25
9;6;3;6.1;176.5
10;6;3;7.0;172.25
11;6;3;9.0;175.5
12;6;3;9.1;178.0
13;6;3;8.9;198.25
14;6;3;7.9;212.0
15;6;3;7.1;217.25
16;6;3;7.0;205.0
17;6;3;6.6;196.5
18;6;3;6.1;201.0
19;6;3;5.9;208.5
20;6;3;7.1;202.25
21;6;3;7.0;197.5
22;6;3;6.8;196.25
23;6;3;6.1;185.5
0;7;3;6.3;188.0
1;7;3;6.0;188.5
2;7;3;5.7;186.25
3;7;3;4.9;185.5
4;7;3;4.7;181.25
5;7;3;4.3;182.25
6;7;3;4.3;180.5
7;7;3;4.7;177.5
8;7;3;5.4;177.75
9;7;3;6.1;185.25
10;7;3;6.8;187.25
11;7;3;9.1;189.5
12;7;3;9.8;189.5
13;7;3;9.5;187.25
14;7;3;10.4;186.0
15;7;3;10.2;188.5
16;7;3;9.2;190.0
17;7;3;8.1;189.0
18;7;3;7.9;198.5
19;7;3;7.0;206.0
20;7;3;6.8;202.25
21;7;3;6.3;195.5
22;7;3;5.8;189.5
23;7;3;5.8;185.75
0;1;3;5.3;181.0
1;1;3;5.0;182.0
2;1;3;4.9;181.5
3;1;3;4.4;180.0
4;1;3;4.3;181.75
